34725, Enceinte de Penn-ar-Lan , enceinte-de-penn-ar-lan-ouessant , 48.456644 : -5.059376,lande : religion
34726, Vestiges du château d’Arlan , vestiges-du-chateau-darlan-ouessant , 48.457441 : -5.093880,lande : militaire
34727, Phare du Stiff , phare-du-stiff-ouessant , 48.470987 : -5.060406,littoral : service
34728, Kroaz ar Chalvar , kroaz-ar-chalvar-ouessant , 48.456872 : -5.096111,lande : religion
34729, Ancien siège du gouvernement , ancien-siege-du-gouvernement-ouessant , 48.457441 : -5.096455,centre-bourg : administratif
34730, Maison du Niou , maison-du-niou-ouessant , 48.460173 : -5.111046,village : quotidien
34731, Penn Brao , penn-brao-ouessant , 48.460116 : -5.110531,village : quotidien
34732, Cheminée , cheminee-ouessant , 48.460088 : -5.110531,village : quotidien
34733, Puits de la maison du Niou , puits-de-la-maison-du-niou-ouessant , 48.460145 : -5.110574,village : quotidien
34734, Crèche , creche-ouessant , 48.460145 : -5.110788,village : agriculture
34735, Costume de mariée (1880) , costume-de-mariee-1880-ouessant , 48.460173 : -5.110359,urbain : campagne : tradition
34736, Costume de mariée , costume-de-mariee-ouessant , 48.457669 : -5.096283,urbain : campagne : tradition
34737, Croix de proella , croix-de-proella-ouessant , 48.460287 : -5.110703,faubourg : commémoration
34738, Réflecteurs de phare , reflecteurs-de-phare-ouessant , 48.454481 : -5.087700,littoral : service
34739, Lampe à huile , lampe-a-huile-ouessant , 48.454965 : -5.088301,littoral : service
34740, Optique à éclats réguliers , optique-a-eclats-reguliers-ouessant , 48.454794 : -5.088086,littoral : service
34741, Maquette du phare Amédée , maquette-du-phare-amedee-ouessant , 48.454937 : -5.088258,littoral : service
34742, Ampoule , ampoule-ouessant , 48.454851 : -5.088258,littoral : service
34743, Maquette du phare de Cordouan , maquette-du-phare-de-cordouan-ouessant , 48.454937 : -5.088387,littoral : service
34744, Sémaphore de Créac’h , semaphore-de-creach-ouessant , 48.454709 : -5.088215,littoral : administratif
34745, Puits de Toulalan , puits-de-toulalan-ouessant , 48.447764 : -5.090618,village : quotidien
34746, Port de Bougezenn , port-de-bougezenn-ouessant , 48.455620 : -5.098686,littoral : service
34747, Ancienne manutention , ancienne-manutention-ouessant , 48.457327 : -5.095940,centre-bourg : administratif
34748, Moulin de Karaes , moulin-de-karaes-ouessant , 48.456872 : -5.121346,village : agriculture
34749, Chapelle Notre-Dame-d’Espérance , chapelle-notre-dame-desperance-ouessant , 48.459490 : -5.066414,lande : religion
34750, Église Saint-Paul-Aurélien , eglise-saint-paul-aurelien-ouessant , 48.457441 : -5.095253,centre-bourg : religion
34751, Sainte Barbe , sainte-barbe-ouessant , 48.456986 : -5.095339,centre-bourg : religion
34752, Urne des proellas , urne-des-proellas-ouessant , 48.456929 : -5.095210,faubourg : commémoration
34753, Tombe , tombe-ouessant , 48.457014 : -5.095210,faubourg : commémoration
34754, Tombes de naufragés , tombes-de-naufrages-ouessant , 48.456986 : -5.095768,faubourg : commémoration
34755, Monument des proellas , monument-des-proellas-ouessant , 48.457441 : -5.095253,faubourg : commémoration
34756, Tour modèle de Roc’h Kromm , tour-modele-de-roch-kromm-ouessant , 48.457213 : -5.096111,littoral : service
34757, Phare de Créac’h , phare-de-creach-ouessant , 48.454595 : -5.088043,littoral : service
34758, Vestiges d’abri de trompette de Porz-Aziou , vestiges-dabri-de-trompette-de-porz-aziou-ouessant , 48.457327 : -5.096111,littoral : service
34759, Port d’Arlan , port-darlan-ouessant , 48.453570 : -5.095940,littoral : service
34760, Vestiges d’abri de trompette à vapeur , vestiges-dabri-de-trompette-a-vapeur-ouessant , 48.453798 : -5.130787,littoral : service
34761, Chapelle Saint-Gildas , chapelle-saint-gildas-ouessant , 48.457897 : -5.096283,littoral : religion
34762, Stèle , stele-ouessant , 48.457498 : -5.096154,lande : service
34763, Fontaine Saint-Gildas , fontaine-saint-gildas-ouessant , 48.457527 : -5.096283,littoral : religion
34764, Pyramide de Runiou , pyramide-de-runiou-ouessant , 48.457327 : -5.095768,littoral : service
34765, Gwasked , gwasked-ouessant , 48.457441 : -5.096111,lande : agriculture
34766, Caserne , caserne-ouessant , 48.459263 : -5.094738,faubourg : militaire
34767, Phare de la jument , phare-de-la-jument-ouessant , 48.457327 : -5.096283,littoral : service
34768, Vestiges de la cloche sous-marine , vestiges-de-la-cloche-sous-marine-ouessant , 48.458807 : -5.133018,littoral : service
34769, Phare de Nividic , phare-de-nividic-ouessant , 48.484983 : -5.072594,littoral : service
